date,total_views,unique_views
2022-09-08,15,1
2022-09-09,4,1
2022-09-10,3,1
2022-09-11,3,1
2022-09-12,0,0
2022-09-13,9,3
2022-09-14,16,3
2022-09-15,5,1
2022-09-16,2,1
2022-09-17,0,0
2022-09-18,2,1
2022-09-19,7,2
2022-09-20,0,0
2022-09-21,8,2
2022-09-22,0,0
2022-09-23,19,4
2022-09-24,2,2
2022-09-25,0,0
2022-09-26,16,3
2022-09-27,0,0
2022-09-28,0,0
2022-09-29,0,0
2022-09-30,3,1
2022-10-01,0,0
2022-10-02,0,0
2022-10-03,3,1
2022-10-04,0,0
2022-10-05,0,0
2022-10-06,3,1
2022-10-07,0,0
2022-10-08,6,1
2022-10-09,0,0
2022-10-10,0,0
2022-10-11,23,7
2022-10-12,23,7
2022-10-13,36,4
2022-10-14,61,14
2022-10-15,1,1
2022-10-16,0,0
2022-10-17,3,1
2022-10-18,33,4
2022-10-19,30,5
2022-10-20,16,4
2022-10-21,0,0
2022-10-22,1,1
2022-10-23,0,0
